artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
404,Feedback Loop,,Dirty Hit,28,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Toshio Matsuura Group,Change,,Brownswood Recordings,29,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Webster Lewis,Barbara Ann,,,30,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Elsewhere Sonido,Ponteio,,,31,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Rebecca Vasmant,Dance Yourself Free,,Rebecca's Records,32,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Rebecca Vasmant,Timing's End,,Rebecca's Records,33,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Fergus McCreadie,Unfurrowed Field (Live at Mercury Awards 2022),,,34,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Ian Carr,Arena (Pt 1 & 2),,Vertigo,35,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Leland Whitty,Awake,,Innovative Leisure,36,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Milton Nascimento,Cravo E Canela,,Verve Records,37,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Milton Nascimento,Aqui E O Pais Do Futebol,,EMI Music Brasil,38,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Elis Regina,Caxanga,,Universal Music,39,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Chico BuarqueMilton Nascimento,Calice,,Luaka Bop,40,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Paulo Emmery,Ponta De Areia,,Bar Kino,41,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Milton NascimentoBelmondo,Nada Será Como Antes,,Odeon,42,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
TortoiseBonnie “Prince” Billy,Cravo e Canela,,Overcoat Recordings,43,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Nashville Rhythm Section,I Can't Go For That,,Koala Record,44,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Goat,Do The Dance,,Rocket Recordings,45,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
Bruise,The Dassy Slide,,Meda Fury,3,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Gilles Peterson,Elle,,Lionel Loueke,30,Gilles Peterson,"Joining The Musical Dots: Questlove, Jimetta Rose & The Voices Of Creation",2022-11-19T15:00:00+00:00
Jeff Parker,43654,,eremite records,11,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
404,Feedback Loop,,Dirty Hit,28,Gilles Peterson,"Joining The Musical Dots: Rebecca Vasmant, Hagan, Muriel Grossmann",2022-10-29T15:00:00+01:00
The Brother Moves On,Itumeleng Revisited,,Native Rebel Recordings,0,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Duval Timothy,Mutate,,Carrying Colour,1,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
Lil SilvaSamphaGhetts,StillSamphaGhetts,,Nowhere Music,2,Gilles Peterson,"Joining the Musical Dots: Alabaster dePlume & Friends, Kay Suzuki",2022-10-22T15:00:00+01:00
